sale_id,product_id,customer_id,sale_date,quantity,unit_price,discount,total_sale,salesperson_id,region
1,55,171,2024-02-02,6,65.35,0.19,6119.95,82,Nevada
2,72,79,2023-12-30,17,466.13,0.19,6009.6,2,Idaho
3,84,160,2024-07-26,16,444.84,0.03,2965.63,153,Nevada
4,46,200,2023-05-26,19,124.02,0.19,147.8,149,New Mexico
5,61,52,2023-02-23,4,222.85,0.02,8303.24,96,Delaware
6,18,38,2024-06-03,15,313.91,0.16,5976.32,96,North Dakota
7,33,141,2024-01-31,9,286.09,0.1,9059.85,61,Texas
8,47,13,2024-06-05,2,178.89,0.12,5166.39,73,South Dakota
9,59,178,2024-04-07,7,101.85,0.09,7839.73,51,South Carolina
10,80,178,2024-07-06,19,350.51,0.26,2683.37,93,South Carolina
11,90,161,2023-12-14,9,40.44,0.22,7134.95,133,Colorado
12,97,50,2023-08-02,18,63.07,0.13,7676.27,143,New Jersey
13,81,85,2023-05-28,8,41.14,0.29,8241.99,172,Colorado
14,20,87,2023-08-06,20,287.21,0.05,7294.95,128,Washington
15,18,186,2023-10-17,9,248.9,0.29,8106.76,84,North Carolina
16,65,92,2024-04-26,17,122.7,0.08,9395.38,83,Kansas
17,52,185,2023-07-03,16,105.53,0.24,6067.99,58,Arizona
18,5,52,2022-12-14,9,383.91,0.02,99.38,59,Wyoming
19,78,3,2023-09-04,3,237.68,0.27,2728.14,92,Texas
20,85,17,2024-08-04,13,438.62,0,7213.73,145,Hawaii
21,68,102,2023-02-17,13,475.47,0.17,8381.54,17,Iowa
22,99,14,2023-12-13,10,302.17,0.02,3931.62,138,West Virginia
23,46,192,2022-12-11,5,33.45,0.07,2673.27,54,North Carolina
24,23,111,2023-02-01,10,263.54,0.02,1700.01,195,Oklahoma
25,62,163,2024-09-06,3,13.14,0.03,6209.02,96,New Hampshire
26,47,27,2024-07-27,11,416.95,0.03,9564.04,195,Delaware
27,4,95,2024-06-29,13,71.13,0.27,6076.08,16,Delaware
28,86,184,2024-01-28,2,381.63,0.08,8365.13,109,Nevada
29,27,147,2023-11-19,6,78.76,0.22,933.51,173,Georgia
30,30,85,2023-10-10,9,300.22,0.01,611.37,93,Iowa
31,29,93,2022-12-30,4,436.34,0.03,4772.66,50,Kansas
32,86,138,2023-03-27,10,172.54,0.01,2820.86,33,Oklahoma
33,15,27,2023-03-27,20,86.6,0.14,8496.63,40,Iowa
34,10,62,2023-11-26,3,55.91,0.15,8072,161,Florida
35,19,141,2023-07-28,9,151.92,0.05,7131.29,191,Kansas
36,12,98,2024-03-04,5,45.71,0.2,5689.51,37,Nevada
37,98,145,2023-06-23,8,411.03,0.18,6589.81,79,Florida
38,77,197,2023-12-22,13,407.61,0.09,6563.84,89,New York
39,44,1,2023-11-02,14,376.42,0,2807.56,112,Massachusetts
40,16,179,2023-01-10,5,51.15,0.23,5730.34,140,Oklahoma
41,13,36,2024-06-18,6,93.05,0.17,8433.63,197,Minnesota
42,99,50,2023-07-11,12,83.81,0.23,2531.28,111,California
43,48,193,2023-04-29,2,193.85,0.21,4494.36,125,New York
44,38,83,2024-03-31,14,12.5,0.1,9619.29,22,Michigan
45,84,104,2022-11-27,3,77.77,0.21,6042.62,115,Vermont
46,59,170,2024-08-08,3,326.97,0.02,9800.59,131,Hawaii
47,80,123,2024-09-24,8,388.5,0.17,752.07,161,Maine
48,50,38,2023-11-16,20,89.95,0.24,4044.29,86,South Dakota
49,84,196,2024-06-08,3,326.02,0.3,4149.23,41,South Dakota
50,13,31,2024-02-14,12,383.71,0.2,9917.48,44,South Carolina
51,78,176,2023-07-03,16,135.69,0.16,2359.87,128,Vermont
52,90,117,2023-12-20,11,459.2,0,8080.89,17,Connecticut
53,32,12,2024-08-24,4,405.85,0.01,6511.82,156,Maine
54,7,34,2023-11-11,17,487.52,0.04,8230.79,34,Florida
55,29,130,2023-11-16,15,483.13,0.23,3292.65,51,Utah
56,31,19,2023-05-14,3,138.14,0.18,2018.93,90,Massachusetts
57,86,177,2023-05-17,15,343.84,0.01,4026.31,92,New York
58,73,73,2023-06-09,8,164.59,0.26,9642.61,143,South Dakota
59,23,28,2022-11-14,11,434.42,0.16,1475.09,136,Minnesota
